flash-1781584479-f8b7ae90	q4b-sft-A100-linkd
flash-1781587857-9b5c9123	cm1b-sft-A100-ticket
flash-1781588766-11f3d01c	q4b-sft-A100-ticket
flash-1781592383-23616e1c	q9b-grpo-A100-linkd
flash-1781635803-5aba96f4	q9b-sft-4090-gsm8k
flash-1781635803-c7099958	q2b-sft-3090-gsm8k
flash-1781635803-9a52af91	q08b-sft-3090-gsm8k
flash-1781635803-29dcad39	q4b-sft-5090-gsm8k
flash-1781635944-2fbb6e1d	q2b-sft-4090-gsm8k
flash-1781659520-633f636a	q08b-grpo-5090-gsm8k
flash-1781775079-f60f9130	cm1b-grpo-5090-bench
flash-1781779653-374ca62e	cm1b-sft-5090-bench
flash-1781779654-a260bfa4	cm1b-grpo-5090-bench-s6
